Latitude,Longitude,OBJECTID,PONTO_RECOLHA_FREGUESIA,PONTO_RECOLHA_LOCAL,CONTENTOR_RESiDUO,CONTENTOR_TIPO,CONTENTOR_CAPACIDADE,CONTENTOR_QT,CONTENTOR_TOTAL_LITROS
-9.142622569,38.70669752,384,Misericordia,15810: Tv Corpo Santo (Ambos (->)(->): R Bernardino da Costa - Cais do Sodre),Lixos,CV0240,240,4,960
-9.142622569,38.70669752,385,Misericordia,15810: Tv Corpo Santo (Ambos (->)(->): R Bernardino da Costa - Cais do Sodre),Papel e Cartao,CV0240,240,1,240
-9.142408356,38.70699663,386,Misericordia,15811: R Bernardino da Costa (Ambos (7->29)(->22): Lg Corpo Santo - Tv Corpo Santo),Lixos,CV0140,140,3,420
-9.142408356,38.70699663,387,Misericordia,15811: R Bernardino da Costa (Ambos (7->29)(->22): Lg Corpo Santo - Tv Corpo Santo),Lixos,CV0240,240,4,960
-9.142408356,38.70699663,388,Misericordia,15811: R Bernardino da Costa (Ambos (7->29)(->22): Lg Corpo Santo - Tv Corpo Santo),Lixos,CV0140,140,3,420
-9.142408356,38.70699663,389,Misericordia,15811: R Bernardino da Costa (Ambos (7->29)(->22): Lg Corpo Santo - Tv Corpo Santo),Lixos,CV0240,240,4,960
-9.142408356,38.70699663,390,Misericordia,15811: R Bernardino da Costa (Ambos (7->29)(->22): Lg Corpo Santo - Tv Corpo Santo),Papel e Cartao,CV0240,240,1,240
-9.143050155,38.70685596,391,Misericordia,15812: R Bernardino da Costa (Ambos (35->45)(32->54): Tv Corpo Santo - Pc Duque da Terceira),Lixos,CV0140,140,5,700
-9.143050155,38.70685596,392,Misericordia,15812: R Bernardino da Costa (Ambos (35->45)(32->54): Tv Corpo Santo - Pc Duque da Terceira),Lixos,CV0240,240,3,720
-9.143050155,38.70685596,393,Misericordia,15812: R Bernardino da Costa (Ambos (35->45)(32->54): Tv Corpo Santo - Pc Duque da Terceira),Lixos,CV0120,120,3,360
-9.143050155,38.70685596,394,Misericordia,15812: R Bernardino da Costa (Ambos (35->45)(32->54): Tv Corpo Santo - Pc Duque da Terceira),Lixos,CV0140,140,5,700
-9.143050155,38.70685596,395,Misericordia,15812: R Bernardino da Costa (Ambos (35->45)(32->54): Tv Corpo Santo - Pc Duque da Terceira),Lixos,CV0240,240,3,720
-9.143050155,38.70685596,396,Misericordia,15812: R Bernardino da Costa (Ambos (35->45)(32->54): Tv Corpo Santo - Pc Duque da Terceira),Lixos,CV0120,120,3,360
-9.151251124,38.70877545,397,Misericordia,15813: Lg Conde-Barao (Ambos (1->57)(4->50): R da Boavista - Bqr do Duro),Lixos,CV0240,240,10,2400
-9.151251124,38.70877545,398,Misericordia,15813: Lg Conde-Barao (Ambos (1->57)(4->50): R da Boavista - Bqr do Duro),Lixos,CV0140,140,7,980
-9.151251124,38.70877545,399,Misericordia,15813: Lg Conde-Barao (Ambos (1->57)(4->50): R da Boavista - Bqr do Duro),Lixos,CV0090,90,1,90
-9.151251124,38.70877545,400,Misericordia,15813: Lg Conde-Barao (Ambos (1->57)(4->50): R da Boavista - Bqr do Duro),Lixos,CV0240,240,10,2400
-9.151251124,38.70877545,401,Misericordia,15813: Lg Conde-Barao (Ambos (1->57)(4->50): R da Boavista - Bqr do Duro),Lixos,CV0140,140,7,980
-9.151251124,38.70877545,402,Misericordia,15813: Lg Conde-Barao (Ambos (1->57)(4->50): R da Boavista - Bqr do Duro),Lixos,CV0090,90,1,90
